company,website,industry
Chubbies,https://www.chubbiesshorts.com,Apparel & Lifestyle
Rothy's,https://rothys.com,Sustainable Footwear
Brooklinen,https://www.brooklinen.com,Home & Bedding
Solo Stove,https://www.solostove.com,Outdoor & Lifestyle
Vuori,https://vuoriclothing.com,Activewear
Outdoor Voices,https://www.outdoorvoices.com,Activewear
Blueland,https://www.blueland.com,Sustainable Home
True Classic,https://www.trueclassictees.com,Apparel
Feastables,https://feastables.com,Food & Beverage
Kosas,https://kosas.com,Beauty
Olipop,https://drinkolipop.com,Beverage
Magic Spoon,https://magicspoon.com,Food
Liquid Death,https://liquiddeath.com,Beverage
Poppi,https://drinkpoppi.com,Beverage
Graza,https://graza.co,Food
Ridge Wallet,https://ridge.com,Accessories
Manscaped,https://www.manscaped.com,Personal Care
Native Deodorant,https://www.nativecos.com,Personal Care
Beardbrand,https://www.beardbrand.com,Grooming
Caraway,https://www.carawayhome.com,Kitchenware
Our Place,https://fromourplace.com,Kitchenware
Jones Road Beauty,https://jonesroadbeauty.com,Beauty
Tushy,https://hellotushy.com,Personal Care
Momofuku Goods,https://shop.momofuku.com,Food
Parade Underwear,https://yourparade.com,Apparel
